OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
2,222009 Teziutlán 2001,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,552,Hectáreas
3,185658 Teziutlán Uno,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,129,Hectáreas
4,185659 Teziutlán Seis,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,86,Hectáreas
5,221610 Capulines ,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,236,Hectáreas
6,230474 Capulines I,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,272,Hectáreas
7,210459 Acateno ,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,5228,Hectáreas
8,208800 Aire Libre,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,45,Hectáreas
9,207579 El Rincon,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,400,Hectáreas
10,205537 El Rincon I,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,250,Hectáreas
11,207578 Teziutlán 2000,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,36,Hectáreas
12,219298 Atexcaco I,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,5381,Hectáreas
13,220979 Atexcaco ,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,801,Hectáreas
14,221609 Atexcaco Ii,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,1991,Hectáreas
15,231055 Atexcaco Iii,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,915,Hectáreas
16,211777 Guadalupe ,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,444,Hectáreas
17,230486 Guadalupe 2,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,27/04/2004,26/04/2054,171,Hectáreas
18,208799 Macuilquila ,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,04/03/2004,03/03/2054,255,Hectáreas
19,230586 Acateno 2,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,04/03/2004,03/03/2054,420,Hectáreas
20,220236 Ampliacion Atexcaco,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,11/11/2003,10/11/2053,99,Hectáreas
21,226438 Tres Cabezas,Concesión,Minería Metálica,Secretaría de Economía,Compañía Minera Autlán SAB de CV,25/02/2003,24/02/2053,225,Hectáreas
68,E/574/AUT/2007 Central Hidroeléctrica Atexcaco,Permiso,Energía Hidroeléctrica,Comisión Reguladora de Energía,Compañía Minera Autlán SAB de CV,16/01/2007,16/01/2037,78.3609,Hectáreas
22,210459 Acateno,Concesión,Minería Metálica,Secretaría de Economía,Compañía Recuperadora de Escorias SA de CV,08/10/1999,07/10/2049,5228.0206,Hectáreas
69,E/1067/AUT/2013 Proyecto Hidroeléctrica Puebla 1,Permiso,Energía Hidroeléctrica,Comisión Reguladora de Energía,Deselec 1 S de RL de CV,09/12/2011,09/12/2041,17.5109,Hectáreas
