NOMBRE,TIPO_ENTIDAD,RELACIONADO_CON,TIPO_RELACION
Iberdrola Renovables Norte SA de CV,empresa,,
Iberdrola SA,empresa,Iberdrola Renovables Norte SA de CV,parent
Amundi Asset Management SAS,empresa,Iberdrola SA,shareholder
BlackRock Inc,empresa,Iberdrola SA,shareholder
José Ignacio Sánchez Galán ,persona,Iberdrola SA,shareholder
Massachusetts Financial Services Company,empresa,Iberdrola SA,shareholder
Norges Bank Investment Management,empresa,Iberdrola SA,shareholder
Qatar Holding LLC,empresa,Iberdrola SA,shareholder
Vanguard Group Inc,empresa,Iberdrola SA,shareholder
Angel Jesus Acebes Paniagua,persona,Iberdrola SA,boardmember
Anthony Luzzato Gardner,persona,Iberdrola SA,boardmember
Armando Martínez Martínez,persona,Iberdrola SA,boardmember
Iñigo Víctor de Oriol Ibarra,persona,Iberdrola SA,boardmember
Isabel García Tejerina,persona,Iberdrola SA,boardmember
Juan Manuel González Serna,persona,Iberdrola SA,boardmember
Manuel Moreu Munaiz,persona,Iberdrola SA,boardmember
Maria Angeles Alcalá Díaz,persona,Iberdrola SA,boardmember
Maria Helena Antolin Raybaud,persona,Iberdrola SA,boardmember
Nicola Mary Brewer,persona,Iberdrola SA,boardmember
Regina Helena Jorge Nunes,persona,Iberdrola SA,boardmember
Sara De La Rica Goiricelaya,persona,Iberdrola SA,boardmember
Xabier Sagredo Ormaza,persona,Iberdrola SA,boardmember
Minera Gorrión SA de CV,empresa,,
Almaden Minerals LTD,empresa,Minera Gorrión SA de CV,parent
AE Wealth Management LLC,empresa,Almaden Minerals LTD,shareholder
Alfredo Phillips ,persona,Almaden Minerals LTD,shareholder
Arbor Point Advisors LLC,empresa,Almaden Minerals LTD,shareholder
Bank of America Corp,empresa,Almaden Minerals LTD,shareholder
Barclays Bank PLC,empresa,Almaden Minerals LTD,shareholder
BNP Paribas Arbitrage SNC,empresa,Almaden Minerals LTD,shareholder
Cambridge Investment Research Advisors Inc,empresa,Almaden Minerals LTD,shareholder
Capital Analysts LLC,empresa,Almaden Minerals LTD,shareholder
Cary Street Partners Investment Advisory LLC,empresa,Almaden Minerals LTD,shareholder
Cerity Partners LLC,empresa,Almaden Minerals LTD,shareholder
Citadel Advisors LLC,empresa,Almaden Minerals LTD,shareholder
Commonwealth Equity Services LLC,empresa,Almaden Minerals LTD,shareholder
Dimensional Fund Advisors LP,empresa,Almaden Minerals LTD,shareholder
Douglas John McDonald,persona,Almaden Minerals LTD,shareholder
Elaine Ellingham,persona,Almaden Minerals LTD,shareholder
Group One Trading LP,empresa,Almaden Minerals LTD,shareholder
Hamilton Capital LLC,empresa,Almaden Minerals LTD,shareholder
James Duane Poliquin,persona,Almaden Minerals LTD,shareholder
Kevin O&Kane ,persona,Almaden Minerals LTD,shareholder
Kohima Pacific Gold Corp,empresa,Almaden Minerals LTD,shareholder
Konwave AG (Gold 2000),empresa,Almaden Minerals LTD,shareholder
Korm Trieu,persona,Almaden Minerals LTD,shareholder
Lincoln Financial Investments Corp,empresa,Almaden Minerals LTD,shareholder
